macd_signal,rsi_signal,stoch_signal,status_signal,adx_signal,output
1,-0.65,0.4,0.15978991726881375,65.24729560329364,-1
1,-0.65,0.4,0.025170935962741108,66.4517863254055,-1
1,-0.65,0.4,0.16784143778384267,67.49567828456911,-1
1,-0.65,0.4,0.012717527106447052,68.40038464917757,0
1,-0.65,0.4,-0.3283919179567777,60.19442241181422,0
0,-0.65,0.4,-0.3580246439547223,54.27760940723201,1
0,-0.65,0.4,-0.5438238835632694,53.75644313293065,1
0,-0.65,0.4,-0.6339904534249194,54.54139171237083,1
0,-0.65,0.10000000000000003,-0.6942360577129789,55.899278618042075,1
0,-0.65,-0.19999999999999996,-0.7477632944450663,57.613870307378555,0
0,-0.65,-0.19999999999999996,-0.593202386407187,59.09984977147017,1
0,-0.25,-0.19999999999999996,-0.7135711176397758,60.38769864034957,1
0,-0.25,-0.19999999999999996,-0.5956977103216111,61.50383432671171,0
0,-0.25,-0.19999999999999996,-0.5005718977710979,62.471151921558906,0
-1,-0.25,-0.19999999999999996,-0.45247602161432715,63.30949383709314,0
-1,-0.25,-0.19999999999999996,-0.5644215581336216,64.03605683055613,0
-1,-0.25,-0.19999999999999996,-0.5197987455202392,64.66574475822406,0
0,-0.25,-0.19999999999999996,-0.38141121778551934,65.21147429553628,0
0,-0.25,-0.19999999999999996,-0.5652536963649157,65.68443989454019,1
0,-0.25,-0.19999999999999996,-0.6175538222623099,66.09434341367691,0
0,-0.25,-0.19999999999999996,-0.5214333066184987,66.44959313026207,1
0,-0.25,-0.19999999999999996,-0.6703856647893348,66.75747621796923,1
0,-0.25,0.10000000000000003,-0.4889680039331355,67.02430822731542,1
0,-0.25,0.10000000000000003,-0.5561064571324229,67.25556263541546,1
0,-0.25,-0.3,-0.5337948560035881,67.45598312243548,1
0,-0.25,-0.7,-0.5298986542067797,67.62968087785285,1
0,-0.25,-0.7,-0.7625063763554973,70.66055552487894,1
0,-0.25,-0.7,-0.584597146426539,73.28731355230155,1
0,-0.25,-0.7,-0.6172476012615185,75.56383717606782,1
0,-0.25,-0.7,-0.6802936337357597,77.53682431666525,1
0,-0.25,-0.7,-0.6373344855222826,79.24674650518301,1
-1,-0.25,-1.5,-0.7486220441650043,80.7286790685651,1
0,-0.25,-1.5,-0.5710045059526663,82.01302062349623,1
0,-0.25,-1.5,-0.6921100995770476,83.12611663776988,1
0,-0.25,-1.5,-0.5055613893444957,84.09079985014037,1
1,-0.25,-0.7,-0.5627307140278553,84.92685863419479,1
1,-0.25,-0.10000000000000003,-0.2357958572231495,84.25641288969825,0
1,-0.25,-0.10000000000000003,-0.36584975618840904,83.67535991113459,1
1,-0.25,0.19999999999999996,-0.20954449158255387,83.45010138164628,1
1,-0.25,0.19999999999999996,-0.3794711222584338,83.25487732275641,1
1,-0.25,0.19999999999999996,-0.3782815134280538,83.08568313838519,1
1,0.0,0.6,-0.22832053827821516,82.9390481785968,1
1,0.0,1.5,-0.29076666784768995,82.8119645467802,1
1,0.0,1.5,-0.33121080791045304,82.70182539920582,1
1,0.0,1.5,-0.3825430391607987,82.60637147130801,1
1,0.0,1.5,-0.4778521193039484,82.52364473379657,1
1,0.0,1.5,-0.341271660026033,82.45194822795334,1
0,0.0,1.5,-0.43753849378923,82.38981125622253,1
0,0.0,1.5,-0.37711682297543975,82.33595921405583,0
0,0.0,1.5,-0.2915342839475699,82.28928744417803,0
0,0.0,1.5,-0.3754192308304405,82.24883857695059,-1
0,0.0,1.5,-0.15807984598553954,83.57505438517266,-1
0,0.0,0.7,0.05970679741300045,85.48883024970173,-1
0,0.0,1.5,0.015396579710719572,87.14743599896028,-1
0,0.0,1.5,0.04181448407628095,88.58489431498433,-1
0,0.0,1.5,0.14923449833060626,89.91821915703888,-1
0,0.0,1.5,-0.03794228105808484,91.07376735348616,-1
0,0.0,1.5,0.04265323234778114,92.0752424570738,-1
0,0.0,1.5,-0.03003632251100138,92.94318754684976,-1
0,0.0,1.5,-0.20942780368950648,93.69540662465559,-1
0,0.0,0.7,-0.04466746974899577,94.34732982542064,-1
1,0.0,0.7,0.05059662998626577,94.91232993275035,-1
0,0.0,0.7,0.13550434516955265,95.4019966924361,0
0,0.0,1.5,0.10139512180117127,95.82637455083041,0
0,0.0,1.5,0.02470763068941234,96.19416869477215,0
-1,0.0,1.5,-0.06354502905272323,96.51292361952166,0
-1,0.0,1.5,0.10155656183235115,96.7891778876379,1
-1,0.0,1.5,-0.13091842818009564,97.02859825333864,0
-1,0.0,1.5,0.05107198662854783,97.23609590361262,0
