macd_signal,rsi_signal,stoch_signal,status_signal,output
0,0.25,-1.5,-0.24125423333063692,1
0,0.25,-1.5,-0.3311613828726651,1
0,0.25,-1.5,-0.3151263004992853,1
0,0.0,-1.5,-0.3700840490109078,1
0,0.0,-1.5,-0.3320898975739397,1
-1,0.0,-1.5,-0.3494671434888138,1
-1,0.0,-1.5,-0.34045289721542166,1
-1,0.0,-0.6,-0.27988530347965657,1
-1,0.0,-1.5,-0.3286353498949339,1
-1,0.0,-0.7,-0.3427143179330807,1
-1,0.0,-0.7,-0.2969557589108465,1
-1,0.0,-1.5,-0.2622476901297348,1
0,0.0,-1.5,-0.20808634416484093,1
0,0.0,-1.5,-0.1674066293344875,1
0,0.0,-1.5,-0.16970635805088538,1
0,0.0,-1.5,-0.19054858581205406,1
0,0.0,-0.7,-0.0890217329709297,1
0,0.0,-0.39999999999999997,-0.01952800340502649,1
0,1.5,-0.39999999999999997,0.17091097379452197,1
0,1.5,-0.39999999999999997,0.11299331886686494,1
0,1.5,-0.39999999999999997,0.11883652507588237,1
0,1.5,0.4,0.15642878150110967,1
1,1.5,0.4,0.25586907740191756,1
1,1.5,0.7,0.2665777768821913,1
1,1.5,1.5,0.2636293267573356,1
1,1.5,1.5,0.27194151678382295,1
1,1.5,1.5,0.38806888925804456,0
1,1.5,1.5,0.3923229248094589,0
1,1.5,1.5,0.3569438137935094,1
1,1.5,1.5,0.3734861244682149,1
1,1.5,1.5,0.3479760088715627,1
1,1.5,1.5,0.3573535704505174,1
1,1.5,1.5,0.33946169761836864,1
1,1.5,1.5,0.38598592359491796,1
1,1.5,1.5,0.5016197097077076,1
1,1.5,1.5,0.4545610424715692,1
0,1.5,1.5,0.3936821768006484,1
0,1.5,1.5,0.31666028875762037,1
0,1.5,1.5,0.3212968336641515,1
0,1.5,1.5,0.4861446262860758,0
0,1.5,0.7,0.42763960721357663,0
0,1.5,0.7,0.5576879655390854,0
